2019-12-24 10:16:33.153 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['47', '发卡方-有卡', '有卡自助消费业务', '联机退货（磁条）', '退货回退手续费', '5 有卡自助消费-成功-作为”隔日全额退货“的原交易']--成功
2019-12-24 10:16:33.153 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['48', '发卡方-有卡', '有卡自助消费业务', '联机退货（磁条）', '退货回退手续费', '6 联机退货-成功-隔日全额退货']--成功
2019-12-24 10:16:33.153 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['49', '发卡方-有卡', '助农业务', '助农余额查询（磁条）', '助农余额查询', '1 助农余额查询-成功-刷卡输密']--成功
2019-12-24 10:16:33.154 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['50', '发卡方-有卡', '助农业务', '助农取款（磁条）', '助农取款', '1 助农取现-成功-刷卡输密']--成功
2019-12-24 10:16:33.154 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['51', '发卡方-有卡', '助农业务', '助农代理缴费（磁条）', '助农代理缴费', '1 消费-成功']--成功
2019-12-24 10:16:33.154 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['52', '发卡方-有卡', '同名-转账业务', '同名-现场转账(磁条)', '现场转出转账', '1 转出转账-成功-刷卡输密']--成功
2019-12-24 10:16:33.155 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['53', '发卡方-有卡', '同名-转账业务', '同名-现场转账(磁条)', '现场转出转账', '2 转出转账-成功-兼容F60.3.5=0']--成功
2019-12-24 10:16:33.155 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['54', '发卡方-有卡', '同名-转账业务', '同名-现场转账(磁条)', '现场转入转账', '1 账户验证-成功-刷卡无密']--成功
2019-12-24 10:16:33.155 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['55', '发卡方-有卡', '同名-转账业务', '同名-现场转账(磁条)', '现场转入转账', '2 转入转账-成功']--成功
2019-12-24 10:16:33.156 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['56', '发卡方-有卡', '同名-转账业务', '同名-自助转账（01-ATM及05-多媒体渠道）（磁条）', '延迟转出转账', '1 延迟转出转账-01渠道-成功-扣除转出资金，模拟流水在T+1清算日文件中']--成功
